"ID","K.1","K.2","K.3","L.1","L.2","L.3"
"ENSG00000145386",-0.442807442770048,0.885614885540095,0.885614885540095,0.221403721385024,-1.77122977108019,0.221403721385024
"ENSG00000138686",0.972601057349922,0.972601057349922,0.733436862919613,-0.797213981434362,-0.653715464776177,-1.22770953140892
"ENSG00000138741",-0.48583004077185,2.01272445462624,-0.0694042915388358,-0.48583004077185,-0.48583004077185,-0.48583004077185
"ENSG00000138688",0.680243766583232,0.87035556161086,1.1079953053954,-1.14364126696308,-0.537659920312511,-0.977293446313901
"ENSG00000181004",0.789928980263052,1.14245926897549,0.711588916104733,-0.97272246329913,-0.502682078349215,-1.16857262369493
"ENSG00000138685",0.905069804006742,-0.809799298321821,-0.0952705056849198,0.119088132106151,1.26233420032519,-1.38142233243134
"ENSG00000170917",-0.922845231570192,-1.19516021793517,-0.287443596718584,1.34644632147126,0.892588010862973,0.166414713889707
"ENSG00000145375",0.461069445977074,-0.230534722988537,-0.230534722988537,1.42931528252893,-1.61374306091976,0.184427778390829
"ENSG00000164056",-0.618688224889746,-1.04403637950145,-0.812028295167792,0.232008084333655,0.734692267056573,1.50805254816876
"ENSG00000213466",0.408248290463863,-0.816496580927726,0.408248290463863,-0.816496580927726,-0.816496580927726,1.63299316185545
"ENSG00000151458",-1.59426053914242,0.44430211746592,0.601114629512715,-0.888604234931838,0.914739653606304,0.522708373489317
"ENSG00000196159",0.803255218151144,0.295936133003053,1.24715941765572,-1.0991913511542,-0.0211382952145035,-1.22602112244122
"ENSG00000213464",-0.408248290463863,-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,-0.408248290463863
"ENSG00000164066",0.707673146340372,1.38703936682713,0.283069258536149,-0.820900849754832,-1.3304255151199,-0.226455406828919
"ENSG00000164070",0.168431371446555,1.02590017153811,1.20964348584344,-1.36276291443122,-0.689037428645,-0.352174685751889
"ENSG00000142731",-0.359721539418096,0.503610155185335,-1.65471908132324,0.0719443078836194,1.36694184978877,0.0719443078836194
"ENSG00000164073",-1.76594357243682,-0.561891136684444,0.40135081191746,0.963241948601903,0.561891136684444,0.40135081191746
"ENSG00000164074",-1.50930070390256,-0.400426717361903,1.0164678209956,0.954863710632231,-0.585239048452013,0.523634938088643
"ENSG00000138709",-0.93621984807554,-0.874675515433124,-0.925029969413282,0.977249403170484,0.904515191865811,0.854160737885652
"ENSG00000173820",-0.503610155185335,-0.935276002487051,1.22305323402153,-0.935276002487051,-0.0719443078836192,1.22305323402153
"ENSG00000164040",-1.57529590458093,-0.739079847993732,-0.105582835427676,0.730633221159517,0.831992743170086,0.857332623672728
"ENSG00000077684",0.999071127824448,0.999071127824448,0.659251016319534,-1.16218478134681,-0.971885518904055,-0.523322971717568
"ENSG00000151466",1.38978925693977,0.292587211987319,-0.256013810488905,0.292587211987319,-1.68237646892709,-0.0365734014984152
"ENSG00000151470",-0.667111556049959,1.23415637869243,1.33422311209992,-0.667111556049959,-0.767178289457453,-0.466978089234971
"ENSG00000199896",0.27524094128159,1.92668658897113,-0.55048188256318,-0.55048188256318,-0.55048188256318,-0.55048188256318
"ENSG00000188442",-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,-0.408248290463863,-0.408248290463863
"ENSG00000138650",0.2328451577119,1.6299161039833,0.543305367994433,-0.6985354731357,-0.6985354731357,-1.00899568341823
"ENSG00000209007",-1.22305323402153,0.0719443078836193,0.215832923650858,0.647498770952573,1.36694184978877,-1.07916461825429
