ID,K.1,K.2,K.3,L.1,L.2,L.3
ENSG00000130764,-0.580245927214384,-1.63982544647543,-0.126140418959649,0.580245927214384,1.05957951926105,0.706386346174032
ENSG00000053372,-0.757835840652719,-1.05309655779014,-0.905466199221431,0.747993816748138,0.984202390458077,0.984202390458077
ENSG00000057757,-0.806396242573308,-0.535085357221541,-1.30379953238488,0.798859829091315,0.821469069537296,1.02495223355112
ENSG00000186501,-0.361652080326912,-0.85763207620382,-1.35361207208073,1.0642904078192,0.878297909365358,0.630307911426904
ENSG00000121775,-0.630461384111479,-1.13483049140066,-0.882645937756071,0.529587562653642,0.983519759213907,1.13483049140066
ENSG00000164011,-0.495698623813372,-1.02766787863748,-1.07602871998512,0.737502830551602,1.29365250604953,0.568239885834841
ENSG00000126088,-0.67434061106344,-0.653906047091821,-1.30781209418364,0.633471483120201,0.980859070637731,1.02172819858097
ENSG00000078618,0.280578525323099,-1.36009251258316,-0.917824667582343,0.665779551614134,1.33631467145408,-0.00475556822581579
ENSG00000058799,-0.865464799485014,-0.939647496583729,-0.884010473759693,0.599643468214617,0.896374256609479,1.19310504500434
ENSG00000213561,-0.5034689874076,-1.09772746434772,-1.04820592460271,0.685047966472636,1.13074182417772,0.833612585707665
ENSG00000160803,-0.225289421195048,-1.52503608193571,-0.667203285846872,0.918487640256733,0.424583909175282,1.07445723954561
ENSG00000163472,-0.775901495694029,-0.940210047723353,-0.940210047723353,0.757644989912993,1.30534016334407,0.593336437883669
ENSG00000117143,-0.463768401981333,-1.42640119312097,-0.659303187681571,0.559028938604526,1.10050988362057,0.889933960558774
ENSG00000143774,-0.559460975369393,-1.07912765541962,-1.0510375646061,0.845043565306908,0.957403928561012,0.887178701527197
ENSG00000143633,-0.56758829797894,-1.05409255338946,-1.05409255338946,0.72975638311578,0.85138244696841,1.09463457467367
ENSG00000152518,-0.348272595159429,-1.015795069215,-1.18993136679472,0.75459062284543,1.24797679932129,0.551431609002429
ENSG00000173209,-0.640653385792808,-0.621717817739819,-1.36020497180641,0.68483637791645,1.02567660287026,0.912063194552323
ENSG00000124370,-0.44194749040692,-0.901933653891674,-1.28074578852618,0.69448891349659,1.01918502889759,0.910952990430592
ENSG00000114993,-0.639228462227901,-1.12041889135887,-0.936434315514674,0.761884846124029,1.03078538005016,0.903411442927254
ENSG00000115275,-0.515615700147585,-0.923311835148001,-1.18711521661886,0.755436956030182,1.21109734220712,0.659508453677143
ENSG00000135637,-0.590532874830373,-1.02359031637265,-1.02359031637265,0.590532874830373,1.2598034663048,0.787377166440497
ENSG00000168906,-0.567874033266266,-0.877623505956956,-1.22867290833974,0.980873330187186,0.877623505956956,0.815673611418818
ENSG00000114988,-0.384765920483074,-1.00871065640157,-1.22709131397305,0.738334604170223,0.863123551353923,1.01910973533355
ENSG00000171227,-0.208656405502919,-0.92404979579864,-1.40097872266245,0.844561641321337,0.844561641321337,0.844561641321337
ENSG00000186684,-0.412388670622703,-1.13074312912677,-1.05092596707076,0.545417274049381,1.18395457049744,0.864685922273409
ENSG00000115919,-0.592692752043843,-1.04991287504909,-0.99911063915962,0.575758673414019,0.82976985286138,1.23618773997716
ENSG00000138433,-0.0373499466626167,-1.11710295018189,-1.17822104472072,0.594203696905263,1.36836622773041,0.370104016929564
ENSG00000182553,-0.376551818841412,-0.969157959968881,-1.24076910798564,0.98150392124237,1.0555796888833,0.549395276670257
ENSG00000013441,-0.498685204306076,-0.817843735061965,-1.25668671485131,0.698159286028506,1.2965815311958,0.578474836995048
ENSG00000124839,-0.692018263970183,-0.681506594137724,-1.28067177458786,0.748080503076628,0.811150522071379,1.09496560754776
ENSG00000171135,-0.253805241725242,-1.2055748981949,-1.03901520831271,0.555198966273968,1.29282045003795,0.650375931920934
ENSG00000151092,-0.56232686978717,-0.584670983818448,-1.43374731700702,0.778319972089527,1.06879345449614,0.73363174402697
ENSG00000114650,0.234410975427033,-1.19214724645748,-1.2122396157798,0.716627839162644,1.21893707222057,0.234410975427033
ENSG00000164054,-0.611049704855591,-0.976218851183633,-1.07846621215548,0.937267475575308,1.12715543166589,0.601311860953509
ENSG00000151276,-0.762697916736991,-0.900951315541279,-1.02537937446514,0.592185391545035,0.993120248077471,1.1037229671209
ENSG00000206527,-0.574642483739965,-0.819460583321489,-1.22749074929069,0.567841980973811,1.20028873822608,0.853463097152255
ENSG00000065534,0.668637562943434,-1.32828000172171,-0.986465283445696,1.2803060061742,0.416774086319001,-0.0509723702692312
ENSG00000181322,-0.630042262920934,-0.844018880516722,-1.2006465765097,1.08177067784538,0.867794060249588,0.725142981852396
ENSG00000180370,-0.453412845490745,-1.35522844978173,-0.784078567064107,0.884280300874215,1.07967368180393,0.628765879658436
ENSG00000178988,-0.35913909801043,-0.811388332542083,-1.2769390151482,0.638469507574098,1.42325494396726,0.385741994159351
ENSG00000171497,-0.249337700343862,-1.10092184613367,-1.10092184613367,0.233993841861162,1.13160956309906,1.08557798765097
ENSG00000164327,-0.776275756896738,-1.07589096131302,-0.857988994464816,0.721800265184687,1.048653215457,0.939702232032894
ENSG00000113369,-0.749669224056241,-1.09237515505338,-0.856764827492847,0.72825010336892,0.846055267149187,1.12450383608436
ENSG00000125347,-0.790874595294744,-1.05449946039299,-0.834812072811119,0.571187207712871,0.966624505360243,1.14237441542574
ENSG00000112983,-0.110465897368304,-0.962631391352362,-1.1520015011266,0.90739844266821,1.3808237171038,-0.0631233699247448
ENSG00000145819,-0.407284017985483,-0.95032937529946,-1.19469978609075,0.868872571702364,1.24900432182215,0.434436285851182
ENSG00000168929,-0.868586782979419,-0.691925064407334,-1.13357936083755,0.898030402741433,1.07469212131352,0.721368684169348
ENSG00000186470,-0.561779771875762,-1.06182550288606,-1.04330529062642,0.956877633414759,1.0679989069726,0.642034025000871
ENSG00000198937,-0.75001064526114,-0.960294003745571,-1.00235067544246,0.721972864129882,0.932256222614314,1.05842623770497
ENSG00000124615,-0.406876279632541,-0.975388341584857,-1.20948154356522,0.863915388260873,1.16489236223563,0.562938414286117
ENSG00000155130,-0.287449487665559,-0.995807153698544,-1.27299058823319,0.574898975331117,1.06766952561493,0.91367872865124
ENSG00000196569,-0.440046232467812,-0.809117266150494,-1.34852877691749,1.03623790226291,0.922677584206703,0.638776789066179
ENSG00000112306,0.989271454503017,-1.13327932446232,-1.30233204137106,0.444546033352621,0.914136913654687,0.0876569643230515
ENSG00000135521,-0.826178078522869,-0.559030675886732,-1.2714237495831,0.89543851624335,1.01417069519274,0.747023292556607
ENSG00000130023,-0.724611613755907,-0.950464584277229,-1.03515944822272,0.771664315947849,0.856359179893345,1.08221215041467
ENSG00000008018,-0.346254735087961,-1.11296164849702,-1.11296164849702,0.494649621554231,1.03876420526388,1.03876420526388
ENSG00000106263,-0.304991278886466,-1.44177695473602,-0.804067917064319,0.942700316558167,0.804067917064319,0.804067917064319
ENSG00000205337,-0.577194207484061,-1.14096529386384,-0.899349113986792,0.5503479652755,0.791964145152549,1.27519650490665
ENSG00000078487,-0.543993191269197,-1.27473031386961,-0.836288040309363,0.771333629411549,0.868765245758271,1.01491267027835
ENSG00000179562,-0.53894010013662,-1.05863233955407,-1.05863233955407,0.635179403732445,1.11637592171157,0.904649453800755
ENSG00000059378,-0.704931319113769,-0.755585066594998,-1.13548817270422,0.53608549417634,1.37187232761662,0.688046736620027
ENSG00000171130,-0.474975575483993,-0.97654978319509,-1.20453805942741,0.835957012851828,0.824557599040212,0.99554880621445
ENSG00000214022,-0.358864373855661,-0.851348461380984,-1.35528566722085,0.580291327936815,1.02696294220397,0.958244232316714
ENSG00000178764,-0.544741309302537,-0.994527711478944,-1.11447075205932,0.804617897226683,1.16444701896781,0.684674856646308
ENSG00000104522,-0.474276009829063,-1.03224778609855,-1.0880449637255,0.557971776269486,1.28333508541982,0.753261897963806
ENSG00000198887,-0.390910093221002,-0.884691263605425,-1.29617557225911,0.514355385817107,0.987562340768846,1.06985920249958
ENSG00000136942,-0.210946395743143,-1.13143975898595,-1.20814753925618,0.690370022432104,0.86296252804013,0.997201143513039
ENSG00000196363,-0.702324174270156,-0.850181895169136,-1.1458973369671,1.04732552303444,0.899467802135462,0.751610081236482
ENSG00000152465,-0.177203177690398,-0.913277915788976,-1.29494629850676,0.667919669756117,1.37673238051771,0.340775341712304
